Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
210,SI030,和平西路~西園路,"['和平西路三段', '西園路一段', '和平西路三段', '西園路一段']",和平西路三段 西園路一段,164.95,1600.64,2137.41,101.88,725.71,1534.41,121.4993278,25.035199
211,SI031,仁愛路~杭州南路,"['仁愛路二段', '杭州南路一段', '仁愛路一段', '杭州南路一段']",仁愛路二段 杭州南路一段,64.67,2161.11,1497.22,47.22,230.14,385.64,121.525238,25.0383858
212,SI032,仁愛路-逸仙路,"['仁愛路四段', '仁愛路四段512巷', '仁愛路四段', '逸仙路']",仁愛路四段 仁愛路四段512巷,85.09,1412.18,728.73,48.82,812.91,476.27,121.561278,25.037582
213,SI033,仁愛路~大安路,"['仁愛路四段', '大安路一段', '仁愛路四段', '大安路一段']",仁愛路四段 大安路一段,89.79,2042.17,1017.04,49,253.35,363.65,121.5460427,25.0377358
214,SI034,仁愛路~林森南路,"['仁愛路一段', '林森南路', '仁愛路一段', '林森南路']",仁愛路一段 林森南路,85.34,1919.18,1434.48,75.1,500.96,1389.94,121.5216419,25.0387672
215,SI035,仁愛路~基隆路,"['仁愛路四段', '基隆路一段', '仁愛路四段', '市議會出口']",仁愛路四段 基隆路一段,74.37,1030.13,544.5,40.3,1025.94,527.76,121.5619947,25.0375466
216,SI036,桂林路~環河南路,"['桂林路', '環河南路二段', '桂林路', '環河南路二段']",桂林路 環河南路二段,12.16,1525.3,1019.54,3.64,1060.86,785.5,121.4971238,25.038617
217,SI037,環河南路~康定路,"['漢口街二段90巷8弄', '康定路', '環河南路一段', '環河南路一段']",漢口街二段90巷8弄 康定路,22.86,1089.55,2888.59,19.1,883.5,2406.4,121.5039579,25.04593
218,SI038,環河南路~水源路,"['水源路', '水門', '環河南路三段', '萬大路']",水源路 水門,34.52,649.76,772.72,54.46,292.7,293.84,121.5081382,25.0568857
219,SI039,環河南路~萬大路,"['環河南路三段', '水門', '環河南路三段', '萬大路']",環河南路三段 水門,29.6,707.79,824.61,58.04,297,156.96,121.4991948,25.016597
220,SI040,環河南路~成都路,"['成都路', '環河南路一段', '-', '環河南路一段']",成都路 環河南路一段,0,1253.71,2617.29,0,331.24,1678.76,121.5011033,25.0445013
221,SI041,環河南路~內江街~西園路,"['內江街', '西園路一段', '環河南路一段', '環河南路一段']",內江街 西園路一段,0,797.61,2983.39,0,358.3,2034.7,121.5002019,25.041841
222,SI042,康定路~內江街,"['內江街', '康定路', '內江街', '康定路']",內江街 康定路,86.75,1491.38,1526.87,70.28,783.4,1578.32,121.502281,25.0416993
223,SI043,成都路~康定路,"['成都路', '康定路', '成都路(中興橋)', '康定路']",成都路 康定路,113,2241.66,1032.34,79.03,869.42,932.55,121.50256,25.0432997
224,SI044,秀明路~新光路(萬壽橋)?,"['秀明路二段', '新光路一段', '萬壽橋', '新光路一段']",秀明路二段 新光路一段,88.76,1233.87,1089.37,62.16,858.27,850.57,121.5736508,24.9917052
225,SI045,木柵路~新光路,"['木柵路五段', '新光路二段', '木柵路五段', '-']",木柵路五段 新光路二段,169.8,902.44,926.76,100.99,477.15,466.86,121.5839685,25.002947
226,SI046,萬大路~西藏路,"['西藏路', '萬大路', '西藏路', '萬大路']",西藏路 萬大路,77.75,1358.61,3229.64,87.19,724.99,1960.82,121.5005697,25.029447
227,SI047,萬大路~東園街,"['萬大路423巷', '萬大路', '東園街', '萬大路']",萬大路423巷 萬大路,106.32,1189.38,2256.3,94.15,716.64,1590.21,121.4986978,25.0215201
228,SI048,松高路~松仁路,"['松高路', '松仁路', '松高路', '松仁路']",松高路 松仁路,133.6,1981.82,1662.58,118.75,1714,1488.25,121.5685182,25.0390693
229,SI049,長安東路~八德路,"['八德路', '八德路二段366巷', '八德路', '長安東路']",八德路 八德路二段366巷,37.01,1381.52,1440.47,23.19,731.76,859.05,121.5461051,25.0473646
230,R001,北安路口~自強隧道圓環,"['北安路', '北安路', '-', '自強隧道']",北安路 自強隧道,121,2506.32,4510.68,82.01,1207.81,2065.18,121.550036,25.085787
231,R002,圓山隧道圓環,"['北安路','中山北路','上新生高架','中山北路','下新生高架','中山北路慢車']",圓山隧道圓環,201.11,4096.49,4506.4,159.12,3545.19,3942.69,121.525604,25.076963
232,R003,景福門圓環,"['仁愛路一段', '信義路一段', '中山南路', '凱達格蘭大道']",仁愛路一段 信義路一段,268.19,3440.94,4090.87,261.33,2673.61,3342.06,121.517681,25.039021
233,R004,仁愛圓環,"['仁愛路四段', '敦化南路一段', '四維路', '仁愛路三段']",仁愛路四段 敦化南路一段,264.08,4074.56,2941.36,169.33,2811.22,2038.45,121.548851,25.037796
234,R005,公館圓環,"['基隆路四段', '羅斯福路四段119巷', '羅斯福路四段123巷', '羅斯福路四段 ']",基隆路四段 羅斯福路四段119巷,148.07,2939.14,7786.79,78.25,1775.01,5175.74,121.537108,25.011181
